"hdic_resblock_id","rent_type","n","mean_price"
1111027374319,0,6,59.1028629388417
1111027374319,1,6,66.0408498522767
1111027374319,2,5,178.881196581198
1111027374320,0,2,67.30769230769
1111027374320,1,2,75.279032686685
1111027374320,2,6,182.080307721175
1111027374321,0,2,88.65079365079
1111027374321,1,8,98.8824043686087
1111027374321,2,3,213.051948051947
1111027374322,0,4,80.9454582626525
1111027374322,1,3,86.6072767110633
1111027374322,2,3,236.444444444447
1111027374323,0,1,102.12765957447
1111027374323,1,8,95.3503772193325
1111027374324,0,4,91.12625313283
1111027374324,1,5,102.235544608648
1111027374324,2,3,198.4179197995
1111027374326,0,1,87.23404255319
1111027374326,2,1,260
1111027374327,0,1,87.78625954198
1111027374327,1,2,106.65954415954
1111027374327,2,3,322.153846153847
1111027374328,0,2,125.32299741602
1111027374328,1,1,133.95348837209
1111027374328,2,1,302.72727272727
1111027374329,1,2,99.305555555555
1111027374329,2,3,241.87037037037
1111027374335,0,1,135.29411764706
1111027374335,1,2,137.71786492375
1111027374336,0,1,173.91304347826
1111027374340,0,1,84.44444444444
1111027374340,1,4,69.7669735271875
1111027374340,2,2,187.09090909091
1111027374345,1,1,116.21621621622
1111027374348,0,5,75.746285393888
1111027374348,1,4,82.850904200155
1111027374355,1,1,52.74725274725
1111027374365,0,4,81.35601180891
1111027374365,2,4,128.254273504275
1111027374366,0,2,85.851926977685
1111027374366,1,1,80.90909090909
1111027374369,0,2,80.478468899525
1111027374369,1,1,87.2
1111027374371,0,2,70.65105506948
1111027374371,1,3,78.1992337164767
1111027374372,0,1,73.17073170732
1111027374372,1,1,110.54054054054
1111027374375,1,3,53.1606794764733
1111027374376,1,1,59.52380952381
1111027374378,1,1,172
1111027374379,1,1,45.71428571429
1111027374380,2,2,180.833333333335
1111027374387,1,2,113.048399687745
1111027374388,0,5,93.062139062138
1111027374388,1,2,87.055335968375
1111027374388,2,2,326.10576923077
1111027374389,0,2,110.9126984127
1111027374389,1,5,108.099394596546
1111027374392,0,1,90.14084507042
1111027374392,1,1,95.55555555556
1111027374392,2,5,246.57854251012
1111027374396,1,2,105.581576893055
1111027374396,2,1,262.72727272727
1111027374398,1,3,53.83180061309
1111027374400,1,4,103.747849182152
1111027374401,1,2,93.612391193035
1111027374402,1,3,106.66341066341
1111027374402,2,1,101.69491525424
1111027374403,0,3,120.856052494303
1111027374403,1,4,140.500541125542
1111027374403,2,2,410.37878787879
1111027374404,0,1,150
1111027374404,1,3,116.374269005847
1111027374404,2,3,291.117424242423
1111027374406,0,3,120.084325953477
1111027374406,1,7,131.241520683151
1111027374406,2,2,271.04895104895
1111027374407,1,1,44.44444444444
1111027374408,1,1,50.79365079365
1111027374409,2,1,256.42857142857
1111027374410,0,1,79.59183673469
1111027374410,1,6,92.3896336603467
1111027374411,0,4,89.6581904038225
1111027374411,1,20,95.346920520389
1111027374411,2,14,215.756342047308
1111027374412,0,1,91.83673469388
1111027374412,1,4,89.5108695652175
1111027374413,0,1,81.81818181818
1111027374413,1,2,71.232057416265
1111027374416,2,12,193.13345274007
1111027374417,1,1,98.81355932203
1111027374417,2,11,229.270625838808
1111027374422,1,1,81.1320754717
1111027374423,0,8,45.7715648728738
1111027374423,1,16,50.5947387009281
1111027374423,2,3,108.588235294117
1111027374424,1,2,72.978723404255
1111027374424,2,5,206.42558356676
1111027374425,1,9,105.66527893818
1111027374425,2,9,279.379480087813
1111027374426,1,5,107.240951184328
1111027374426,2,6,279.916666666667
1111027374428,1,3,118.636018467897
1111027374428,2,4,310.372023809525
1111027374432,1,2,112.545833333335
1111027374435,0,1,48.38709677419
1111027374435,1,10,59.073960577536
1111027374435,2,6,178.837962962963
1111027374436,0,6,70.2564137805717
1111027374436,1,4,75.025364650365
1111027374436,2,11,215.304188236006
1111027374437,1,1,60.65573770492
1111027374438,1,2,53.60766202302
1111027374438,2,2,204.05303030303
1111027374439,0,1,61.05263157895
1111027374439,1,1,58.94736842105
1111027374439,2,8,185.492829168381
1111027374440,1,3,76.61366009828
1111027374452,1,1,128.37837837838
1111027374453,0,1,50
1111027374453,1,2,49.758296315655
1111027374454,1,1,69.10101010101
1111027374455,1,1,71.55963302752
1111027374456,1,2,69.285714285715
1111027374458,0,3,87.4259974259967
1111027374458,1,8,86.8450689116962
1111027374458,2,8,243.208333333334
1111027374459,0,2,76.809575401125
1111027374459,1,2,72.76384976526
1111027374459,2,9,272.136887803552
1111027374460,1,3,68.3827036291833
1111027374460,2,10,186.014474577709
1111027374461,1,1,76.31578947368
1111027374463,1,1,100
1111027374463,2,4,258.242481203008
1111027374464,1,1,91.17647058824
1111027374464,2,3,246.767676767677
1111027374465,1,2,93.58024691358
1111027374465,2,9,270.910833481009
1111027374466,0,1,113.30049261084
1111027374466,1,1,129.23076923077
1111027374468,0,2,122.394444444445
1111027374468,1,2,115.23105674482
1111027374470,1,1,82.95454545455
1111027374470,2,3,310.13888888889
1111027374474,1,1,89.2
1111027374478,1,2,118.15079365079
1111027374481,1,8,97.5982606717913
1111027374483,1,15,84.6334624764087
1111027374485,1,1,77.5
1111027374488,0,2,84.424052161315
1111027374488,1,7,107.850806792441
1111027374488,2,1,217.27272727273
1111027374489,1,2,77.833850931675
1111027374494,1,2,59.16666666667
1111027374495,1,4,68.40348982649
1111027374495,2,4,163.149184149185
1111027374496,1,2,52.036632039365
1111027374500,0,1,141.37931034483
1111027374500,1,9,95.4388717160456
1111027374502,2,3,170.081822202563
1111027374503,0,2,75.189843379215
1111027374503,1,1,96.66666666667
1111027374503,2,3,250.194444444447
1111027374505,0,1,85.31073446328
1111027374505,1,2,88.80876068376
1111027374505,2,1,305.625
1111027374506,1,1,50.72463768116
1111027374507,1,1,39.77272727273
1111027374510,0,1,66.66666666667
1111027374511,0,1,56.79012345679
1111027374515,1,1,66.66666666667
1111027374516,1,1,57.42574257426
1111027374518,0,6,87.1073436797117
1111027374518,1,8,92.393609589435
1111027374518,2,5,195.10576923077
1111027374519,0,5,102.329921921174
1111027374519,1,16,105.095709772952
1111027374520,0,7,78.9136450887643
1111027374520,1,5,83.666964230442
1111027374520,2,2,236.25
1111027374521,0,10,90.296525937686
1111027374521,1,9,93.7192717373867
1111027374521,2,17,234.903711484594
1111027374522,0,1,100.76335877863
1111027374522,1,1,103.77358490566
1111027374522,2,2,263.57142857143
1111027374523,0,2,76.88386524823
1111027374525,0,3,66.6666666666667
1111027374525,1,1,79.86666666667
1111027374525,2,3,255.916666666667
1111027374526,1,2,98.837209302325
1111027374526,2,7,217.386054421769
